Name	Total Score	Steric	Desolvation	Acc	Donor	Metal	Smiles
Clu 7, Mem 12	-105.224754	-105.189751	16.286167	-3.429357	-12.891819	0.000000	CCNc1cc(c(cc1NC(=O)C)C(Cc2ccc(c(c2)O)OC)O)C
Clu 7, Mem 4	-104.123711	-109.559967	17.885525	-1.651045	-10.798223	0.000000	CCNc1cc([nH+]c(c1NC(=O)C)O)C(Cc2ccc(c(c2)O)OC)O
Clu 57, Mem 4	-103.090836	-104.024864	8.642805	-1.856180	-5.852605	0.000000	Cc1cc(c(c(c1C(Cc2ccc(c(c2)O)OC)O)C)C)NCCCCl
Clu 7, Mem 13	-102.603157	-104.312431	15.483685	-3.162938	-10.611468	0.000000	CCNc1cc(ccc1NC(=O)C)C(Cc2ccc(c(c2)O)OC)O
Clu 7, Mem 14	-101.619789	-103.935654	15.480812	-1.958218	-11.206734	0.000000	CCNc1cc(c(cc1NC(=O)C)Cl)C(Cc2ccc(c(c2)O)OC)O
Clu 40, Mem 12	-99.959335	-97.404541	9.526704	-3.407825	-8.673668	0.000000	Cc1cc(c(c2c1NCCC2)C)C(Cc3ccc(c(c3)O)OC)O
Clu 48, Mem 7	-99.946495	-98.659943	10.491092	-4.162457	-7.615189	0.000000	CCNc1cc(c(cc1C)C(Cc2ccc(c(c2)O)OC)O)C
Clu 24, Mem 6	-99.327141	-90.668571	14.709093	-12.161942	-11.205715	0.000000	Cc1cc(c2cccnc2c1NC)C(Cc3ccc(c(c3)O)OC)O
Clu 52, Mem 8	-98.976707	-101.752556	16.596575	-3.198789	-10.621939	0.000000	CCNc1ccc(cc1NC(=O)OCC)C(Cc2ccc(c(c2)O)OC)O
Clu 17, Mem 9	-98.443108	-100.676170	8.861616	-4.762252	-1.866310	0.000000	CNc1cc([nH+]c2c1cc(cc2)C(Cc3ccc(c(c3)O)OC)O)Cl
Head 30, Size=6	-97.264282	-88.215683	14.348629	-7.788733	-15.608487	0.000000	COc1ccc(cc1O)CC(c2ccc3c(c2)c(c[nH]3)N)O
Clu 1, Mem 7	-97.236488	-88.481270	15.092875	-7.700003	-16.148077	0.000000	COc1ccc(cc1O)CC(c2cc(c(c3c2cc[nH]3)OC)O)O
Clu 38, Mem 2	-97.002319	-92.719742	11.646101	-1.169495	-14.759183	0.000000	Cc1c([nH]c2c1c(cc(c2)O)C(Cc3ccc(c(c3)O)OC)O)C
Clu 56, Mem 7	-96.901192	-101.293800	8.523676	-3.055348	-1.075719	0.000000	CCNc1c(cc(cc1C(=O)OC)C(Cc2ccc(c(c2)O)OC)O)C
Head 49, Size=2	-96.890205	-99.164902	7.556259	-3.794958	-1.486603	0.000000	CCN(CC)c1c(cc(cc1C)C(Cc2ccc(c(c2)O)OC)O)C
Clu 48, Mem 11	-96.667381	-97.441856	12.192899	-4.220158	-7.198268	0.000000	Cc1c(c(c(cc1C(Cc2ccc(c(c2)O)OC)O)O)NC(C)C)C
Clu 34, Mem 5	-96.581528	-91.603531	11.024132	-0.171034	-15.831097	0.000000	Cc1cc(c(c2c1c(c[nH]2)C)C)C(Cc3ccc(c(c3)O)OC)O
Clu 68, Mem 11	-96.255394	-87.207932	16.756889	-14.296106	-11.508248	0.000000	CCC(=O)Nc1cc(cc(c1O)N)C(Cc2ccc(c(c2)O)OC)O
Head 29, Size=2	-95.900261	-96.321701	7.630780	-2.607743	-4.601593	0.000000	CCNc1cc[nH+]c2c1cc(cc2)C(Cc3ccc(c(c3)O)OC)O
Head 24, Size=6	-95.898476	-96.351067	11.637714	-4.798440	-6.386687	0.000000	CNc1c2ccccc2c(cc1O)C(Cc3ccc(c(c3)O)OC)O
Clu 56, Mem 5	-95.526337	-93.184425	11.343332	-5.772694	-7.912552	0.000000	CCNc1c(cc(cc1O)C(Cc2ccc(c(c2)O)OC)O)C(C)(C)C
