Name	Total Score	Steric	Desolvation	Acc	Donor	Metal	Smiles
Clu 168, Mem 15	-102.300941	-67.680580	18.476170	-12.498528	-22.637077	-17.960926	COc1ccc(cc1O)CC(c2cc(c(c(c2)NC(=O)[O-])O)N)O
Clu 68, Mem 15	-102.300941	-67.680580	18.476170	-12.498528	-22.637077	-17.960926	COc1ccc(cc1O)CC(c2cc(c(c(c2)NC(=O)[O-])O)N)O
Head 31, Size=4	-99.526154	-108.594208	10.398047	-0.800064	-0.529945	0.000000	CNc1cc(c2cccc(c2[nH+]1)F)C(Cc3ccc(c(c3)O)OC)O
Clu 72, Mem 6	-94.701736	-71.537605	12.675624	-0.058743	-8.087591	-27.693436	Cc1cc(cc(c1N)C(=O)NO)C(Cc2ccc(c(c2)O)OC)O
Clu 27, Mem 10	-93.572006	-100.385941	9.141949	-1.457121	-0.870885	0.000000	Cc1cc[nH+]c2c1cc(cc2OC)C(Cc3ccc(c(c3)O)OC)O
Clu 17, Mem 7	-92.964386	-99.702454	9.252020	-1.026749	-1.487197	0.000000	Cc1cc(cc2c1[nH+]ccc2N)C(Cc3ccc(c(c3)O)OC)O
Clu 27, Mem 6	-92.898453	-100.656364	9.791021	-1.446598	-0.586508	0.000000	CNc1cc([nH+]c2c1cccc2Cl)C(Cc3ccc(c(c3)O)OC)O
Clu 18, Mem 4	-92.849770	-101.251869	10.148792	-1.034305	-0.712389	0.000000	CCNc1cc(cc2c1CCC2)C(Cc3ccc(c(c3)O)OC)O
Clu 17, Mem 8	-92.823235	-99.854942	9.189538	-0.781184	-1.376648	0.000000	COc1ccc(cc1O)CC(c2cc3c(cc[nH+]c3c(c2)F)N)O
Clu 28, Mem 15	-92.649147	-93.049164	14.636275	-0.289317	-13.946943	0.000000	C[NH2+]Cc1cc(cc2c1[nH]cc2Cl)C(Cc3ccc(c(c3)O)OC)O
Clu 27, Mem 4	-92.588486	-100.255997	9.965107	-1.340490	-0.957114	0.000000	Cc1cccc2c1[nH+]c(cc2NC)C(Cc3ccc(c(c3)O)OC)O
Clu 31, Mem 4	-91.788925	-99.873634	9.518316	-0.522213	-0.911391	0.000000	Cc1c2ccccc2c(cc1NC)C(Cc3ccc(c(c3)O)OC)O
Clu 23, Mem 17	-91.541084	-101.917091	11.730007	-0.898335	-0.455661	0.000000	Cc1cc(c(c2c1c[nH]c2C)C)C(Cc3ccc(c(c3)O)OC)O
Clu 5, Mem 9	-91.264015	-93.184242	19.161541	-6.348430	-10.892881	0.000000	CNc1cc([nH+]c(c1N)NC(=O)OC)C(Cc2ccc(c(c2)O)OC)O
Clu 28, Mem 14	-91.251617	-102.982224	13.143049	-0.955956	-0.456492	0.000000	CCNc1cc([nH+]c2c1c(cs2)N)C(Cc3ccc(c(c3)O)OC)O
Clu 31, Mem 2	-91.144020	-97.496872	9.958249	-0.116697	-3.488700	0.000000	CNc1cc(c2ccc(cc2[nH+]1)Cl)C(Cc3ccc(c(c3)O)OC)O
Clu 35, Mem 3	-91.036339	-100.486046	10.570826	-0.910169	-0.210952	0.000000	CNc1c(cc(c2c1scn2)C(Cc3ccc(c(c3)O)OC)O)Cl
Head 76, Size=2	-90.449280	-104.529541	15.355097	-0.599799	-0.675027	0.000000	Cc1c(c(c(cc1C(Cc2ccc(c(c2)O)OC)O)NC(=O)OC)O)C
Clu 0, Mem 71	-90.112274	-77.497818	18.927965	-14.522383	-17.020042	0.000000	CNc1c(c(nc(n1)C(Cc2ccc(c(c2)O)OC)O)OC)NC=O
Clu 17, Mem 5	-90.026535	-92.314468	8.420678	-2.343014	-3.789729	0.000000	CNc1cc[nH+]c2c1cc(cc2)C(Cc3ccc(c(c3)O)OC)O
Clu 22, Mem 2	-89.924530	-99.340645	10.940001	-1.176168	-0.347718	0.000000	CNc1cc(cc2c1cccc2O)C(Cc3ccc(c(c3)O)OC)O
Clu 23, Mem 7	-89.660004	-100.111267	11.448340	-0.323480	-0.673598	0.000000	Cc1c[nH]c2c1c(c(cc2Cl)C(Cc3ccc(c(c3)O)OC)O)Cl
Clu 24, Mem 5	-89.574318	-99.253487	11.159086	-0.530813	-0.949093	0.000000	COc1ccc(cc1O)CC(c2cc(c(c3c2cccc3)O)N)O
Clu 71, Mem 3	-89.147606	-79.731606	19.231560	-3.946847	-24.700722	0.000000	COc1ccc(cc1O)CC(c2cc(c(c(c2)C(=O)N)O)C(=O)N)O
Clu 17, Mem 4	-88.884148	-93.016525	10.080173	-2.035980	-3.911826	0.000000	CNc1cc[nH+]c2c1cc(cc2N)C(Cc3ccc(c(c3)O)OC)O
Clu 68, Mem 8	-88.852989	-94.747490	6.764479	-0.020988	-0.848991	0.000000	Cc1cc(c(c(c1C)NCCCCl)C)C(Cc2ccc(c(c2)O)OC)O
Clu 21, Mem 3	-88.826759	-97.662331	11.051105	-1.297189	-0.918339	0.000000	Cc1cc(c2cc([nH]c2c1C)C)C(Cc3ccc(c(c3)O)OC)O
Clu 38, Mem 4	-88.565948	-88.858917	10.999492	-0.043947	-10.662577	0.000000	Cc1cc(c2c(c[nH]c2c1C)C)C(Cc3ccc(c(c3)O)OC)O
Clu 23, Mem 6	-88.544563	-97.636063	10.248549	-0.829738	-0.327311	0.000000	Cc1cc(c(c2c1[nH]cc2C)C)C(Cc3ccc(c(c3)O)OC)O
Clu 15, Mem 9	-88.471199	-96.519417	17.900171	-0.842688	-9.009264	0.000000	CCNc1cc(cc2c1n[nH]c2C)C(Cc3ccc(c(c3)O)OC)O
Clu 12, Mem 8	-88.449982	-96.636063	10.133072	-1.096984	-0.849985	0.000000	CC1CCc2c1cc(cc2NC)C(Cc3ccc(c(c3)O)OC)O
Clu 17, Mem 2	-88.287422	-97.855614	9.994164	-0.342194	-0.083775	0.000000	Cc1cc(cc2c1[nH+]ccc2NC)C(Cc3ccc(c(c3)O)OC)O
Clu 5, Mem 13	-88.175484	-103.024292	15.588367	-0.419485	-0.320072	0.000000	Cc1c(cc(c(c1Cl)O)NC(=O)C)C(Cc2ccc(c(c2)O)OC)O
Clu 28, Mem 3	-88.172440	-103.543198	17.654459	-0.961174	-1.322521	0.000000	CCNc1cc([n+](c2c1c[nH]n2)C)C(Cc3ccc(c(c3)O)OC)O
Clu 17, Mem 3	-88.101860	-95.098824	10.500130	-0.461653	-3.041512	0.000000	CNc1cc[nH+]c2c1cc(cc2F)C(Cc3ccc(c(c3)O)OC)O
Clu 68, Mem 20	-88.093750	-103.134865	15.933609	-0.542695	-0.349799	0.000000	CCOC(=O)Nc1cc(cc(c1C)N)C(Cc2ccc(c(c2)O)OC)O
Clu 76, Mem 2	-88.030281	-100.199707	13.599039	-0.890119	-0.539483	0.000000	Cc1c(c(cc(c1C)NC(=O)C)C(Cc2ccc(c(c2)O)OC)O)C
Clu 21, Mem 5	-88.029755	-96.680351	10.990671	-1.250881	-1.089198	0.000000	Cc1c(c(c2cc[nH]c2c1C)C(Cc3ccc(c(c3)O)OC)O)C
Clu 15, Mem 28	-88.011673	-75.871185	22.400328	-17.159187	-17.381632	0.000000	Cc1c2c(c(nc(n2)C(Cc3ccc(c(c3)O)OC)O)NC)[nH]n1
Clu 15, Mem 11	-87.950272	-105.157707	20.072660	-1.065864	-1.799361	0.000000	CCNc1cc(cc2c1[nH]nc2N)C(Cc3ccc(c(c3)O)OC)O
Clu 23, Mem 4	-87.856804	-95.527626	10.084600	-0.450750	-1.963036	0.000000	Cc1c[nH]c2c1cc(cc2F)C(Cc3ccc(c(c3)O)OC)O
Clu 80, Mem 2	-87.787346	-99.016586	12.464815	-0.798254	-0.437320	0.000000	CCNc1cc(c(cc1OC)C)C(Cc2ccc(c(c2)O)OC)O
Clu 50, Mem 21	-87.740044	-94.014885	12.814701	-0.659788	-5.880076	0.000000	COc1ccc(cc1O)CC(c2cc([nH+]c(c2Cl)Cl)C(=O)N)O
Clu 23, Mem 3	-87.708855	-97.834541	11.099289	-0.709463	-0.264141	0.000000	Cc1cc(cc2c1[nH]cc2C)C(Cc3ccc(c(c3)O)OC)O
Clu 40, Mem 14	-87.672203	-96.903915	13.035631	-1.037368	-2.766565	0.000000	COc1ccc(cc1O)CC(c2cc3c(c(c2)Cl)NCCC3[NH3+])O
Clu 40, Mem 12	-87.587074	-96.668335	10.354876	-0.701858	-0.571747	0.000000	Cc1cc(c(c2c1NCCC2)C)C(Cc3ccc(c(c3)O)OC)O
Clu 24, Mem 2	-87.518936	-93.913422	7.112923	-0.664117	-0.054316	0.000000	Cc1cc(c2ccc[nH+]c2c1C)C(Cc3ccc(c(c3)O)OC)O
Head 17, Size=11	-87.331276	-95.828911	10.315094	-0.687427	-1.130041	0.000000	CNc1cc[nH+]c2c1cc(cc2Cl)C(Cc3ccc(c(c3)O)OC)O
Head 28, Size=15	-87.296967	-100.610794	17.757032	-1.791982	-2.651240	0.000000	CCNc1cc([n+](c2c1cn[nH]2)C)C(Cc3ccc(c(c3)O)OC)O
Clu 1, Mem 12	-87.243767	-96.999863	10.801151	-0.611686	-0.433366	0.000000	Cn1ccc2c1c(c(cc2C(Cc3ccc(c(c3)O)OC)O)O)O
